,start_distance,shot_distance,number_of_passes,possession_duration,shot_angle,goal,xG,body_part,assist_height
0,61.916475997911895,16.101242188104614,12,41.0,25.18751002013046,0,0.2465795,Right Foot,High Pass
1,84.48076704197234,5.385164807134504,17,57.0,59.870957355858025,1,0.735068,Right Foot,Ground Pass
2,102.56753872449119,21.313845265460667,14,171.0,20.239639935825338,0,0.05301468,Right Foot,unassisted
3,79.50874165775735,23.774145620820953,7,15.0,18.89658120112653,0,0.13440754,Left Foot,Ground Pass
4,67.45494792822836,23.580076335754306,6,19.0,15.641695494626967,0,0.030602627,Right Foot,Ground Pass
5,67.45494792822836,11.80169479354554,6,90.0,37.44260019326837,1,0.76,Left Foot,unassisted
6,77.77981743357334,18.401086924418347,4,12.0,19.903208081416462,0,0.054981586,Left Foot,Ground Pass
7,77.77981743357334,28.284271247461902,12,82.0,15.945395900922858,0,0.021151075,Right Foot,unassisted
8,49.54886477004292,10.101980003939817,10,41.0,38.64356450103093,0,0.039993536,Head,High Pass
9,103.28417110090007,6.003332407921453,6,60.0,67.3394636980007,1,0.5496261,Left Foot,Ground Pass
10,53.71052038474399,33.573799308389276,52,220.0,5.101434476128643,0,0.13434888,Right Foot,Low Pass
11,86.55553130794127,14.117365193264643,7,25.0,19.023679384257623,1,0.35351756,Left Foot,Ground Pass
12,109.30896578048848,6.648308055437869,9,24.0,61.1548511242753,1,0.49654704,Left Foot,Ground Pass
13,61.428088037965175,17.21046193453273,2,11.0,20.93604442771881,0,0.06970211,Right Foot,Low Pass
14,49.932153969161,13.58565419845507,7,41.0,31.869224292551063,0,0.109969445,Right Foot,High Pass
15,49.932153969161,23.762154784446636,22,113.0,15.64038711015398,0,0.04566974,Left Foot,Ground Pass
16,92.10152007431799,14.721752613055283,15,30.0,30.364399788148038,0,0.08596589,Left Foot,Ground Pass
17,79.48333158593694,26.70299608658174,7,23.0,15.887841144276504,0,0.04773583,Right Foot,Ground Pass
18,35.40225981487623,13.072872675888798,2,7.0,27.547754914152264,0,0.17029501,Right Foot,Ground Pass
19,62.6386462178103,15.640012787718558,31,128.0,21.92143663984579,0,0.047544103,Right Foot,Ground Pass
20,100.20563856390517,12.68227108999015,24,146.0,28.91334591833235,0,0.05300951,Right Foot,unassisted
21,100.20563856390517,5.5578772926361015,24,148.0,71.30371340012455,1,0.6539781,Right Foot,unassisted
22,114.19846759041909,9.178779875342917,5,18.0,44.555855566888035,1,0.39969698,Left Foot,High Pass
23,61.216501043427826,27.560116110060207,5,30.0,13.316773871370014,0,0.021569598,Right Foot,High Pass
24,83.10619712151434,25.20019841191732,21,85.0,17.50120255655341,0,0.024118321,Right Foot,unassisted
25,111.11957523316943,27.356169322476422,2,73.0,16.43273410026302,0,0.081531845,Left Foot,unassisted
26,90.64441516166343,15.563097378092833,6,15.0,28.72993242514363,0,0.1633954,Right Foot,Ground Pass
27,60.10407640085654,14.340502083260546,30,102.0,20.152724117191294,0,0.41525188,Right Foot,Low Pass
28,46.38156961552724,11.936498649101424,7,26.0,21.41296947487173,1,0.28444836,Right Foot,Ground Pass
29,68.94613839802777,17.310401497365685,44,115.0,24.55571345386147,0,0.12663467,Left Foot,Ground Pass
30,99.10988850765598,14.591093173576825,3,8.0,23.88684745945127,1,0.19971028,Right Foot,Ground Pass
31,77.28939125132246,19.360010330575758,17,49.0,13.659530764296983,0,0.09851488,Left Foot,unassisted
32,77.28939125132246,15.063200191194436,19,63.0,25.72220501998959,1,0.0878945,Right Foot,Ground Pass
33,57.578207683115664,25.555625603768732,5,11.0,17.428501572965896,0,0.035210285,Right Foot,Ground Pass
34,60.21378579694189,11.842297074469966,20,61.0,37.22828535793446,0,0.1654623,Head,Low Pass
35,46.18538729944787,21.742354978244656,1,2.0,16.766087937522556,0,0.057489403,Right Foot,Ground Pass
36,78.15171143359562,15.700318468107582,9,20.0,23.453103668899036,0,0.122286625,Left Foot,Ground Pass
37,51.50087377899525,5.573149917237109,26,167.0,71.10532338629865,0,0.25809813,Head,High Pass
38,51.50087377899525,8.452810183601661,26,168.0,50.135068245692096,0,0.28818282,Left Foot,unassisted
39,33.796005681145225,21.396495040076072,2,7.0,20.819504522759406,0,0.03251703,Right Foot,High Pass
40,18.49540483471503,14.28005602229907,9,22.0,20.108347276319172,0,0.048079044,Right Foot,High Pass
41,82.01420608650675,22.114474897677308,10,39.0,20.492970490106785,1,0.07567623,Left Foot,Ground Pass
42,103.83530228202737,24.176021178018523,9,47.0,18.08106620017009,0,0.03547339,Left Foot,Ground Pass
43,54.64979414416855,16.76573887426379,15,45.0,20.212538641555184,0,0.07456259,Right Foot,Ground Pass
44,96.3710018625935,33.79245477913672,12,90.0,13.273076893905747,0,0.025271902,Left Foot,unassisted
45,37.934812507774446,25.994230129011324,29,170.0,17.3100011939209,0,0.10796567,Right Foot,unassisted
46,65.10622090092467,23.945354455509733,7,84.0,16.244177276800947,0,0.07999919,Left Foot,unassisted
47,80.07877371688456,27.237107041681206,31,193.0,15.110884689708856,0,0.04874225,Right Foot,unassisted
48,100.81790515578074,13.515176654413365,7,13.0,28.899667268749578,1,0.2941427,Right Foot,Ground Pass
49,114.62818152618492,14.221462653327892,12,41.0,22.618772767721957,1,0.3979331,Left Foot,Ground Pass
50,99.84237577301533,24.401844192601516,34,158.0,18.617187635334712,0,0.03200919,Right Foot,Ground Pass
51,57.843322864441326,5.714017850864663,19,81.0,69.94126551316091,1,0.46949142,Left Foot,unassisted
52,24.240462041801106,27.906450867138236,2,6.0,14.636100753435882,0,0.022233248,Right Foot,Ground Pass
53,64.42522797786594,27.344103569142653,19,160.0,16.273734882693613,1,0.0776468,Left Foot,unassisted
54,22.45551157288562,16.33554406807438,16,91.0,20.462121902256694,0,0.10226898,Left Foot,Ground Pass
55,100.63418902142551,27.189152248645048,24,197.0,14.273655560180577,0,0.041664142,Left Foot,unassisted
56,70.6629322912657,23.170886905770356,13,70.0,17.075208084896897,0,0.02843125,Right Foot,Ground Pass
57,78.75074602821232,28.053163814443465,6,93.0,14.375315315339355,0,0.049124494,Right Foot,unassisted
58,78.75074602821232,21.306337085477644,25,178.0,20.98664756002827,0,0.046017427,Left Foot,Ground Pass
59,92.04048022473589,21.644860821913362,2,9.0,20.81232298847061,0,0.18154988,Left Foot,Ground Pass
60,117.98118494065059,13.842326394071193,14,42.0,28.663923617198673,1,0.38685867,Left Foot,Ground Pass
61,84.92496688253696,11.542096863222035,7,32.0,25.852923579548534,1,0.11585177,Right Foot,Low Pass
62,62.48855895281952,20.930838492521033,9,21.0,21.421273511845833,1,0.21128508,Left Foot,Ground Pass
63,90.58504291548357,10.707007051459337,5,19.0,25.19217152969103,0,0.34376425,Left Foot,Ground Pass
64,41.24960605872498,16.98528775146303,41,212.0,20.151747034211898,1,0.1337941,Right Foot,Ground Pass
65,70.76298467419247,27.43446737226732,12,228.0,15.59448904393732,0,0.039471842,Left Foot,unassisted
66,69.69827831446052,14.713938969562165,7,51.0,23.11921919004204,0,0.3608495,Left Foot,Ground Pass
67,82.77976805959291,20.122127124138736,8,25.0,17.25582353994501,1,0.058443572,Left Foot,unassisted
68,84.26962679399975,25.09760944791356,4,76.0,14.258048610138198,0,0.058206163,Right Foot,unassisted
69,77.52805943656786,16.999999999999996,5,29.0,21.729002372726427,0,0.042248275,Right Foot,Ground Pass
70,92.91135560306931,17.624131184259834,6,42.0,19.44349350809438,0,0.07346687,Right Foot,Ground Pass
71,52.11496905880305,20.329535164385828,51,228.0,15.207882733384631,0,0.056464013,Left Foot,High Pass
72,52.11496905880305,15.831929762350509,55,254.0,28.006544476678656,1,0.46747515,Right Foot,Ground Pass
73,93.02972643193142,23.46486735526115,9,55.0,16.188568553158003,0,0.041491807,Right Foot,Ground Pass
74,105.94951628016051,14.101418368376994,10,50.0,26.508620683656808,0,0.32615563,Right Foot,Ground Pass
75,88.15378607864781,7.599999999999994,7,39.0,55.51708120212008,0,0.16980648,Head,High Pass
76,70.91741676062377,27.485450696686783,14,105.0,9.338512333778107,0,0.023722462,Left Foot,unassisted
77,61.37988269783513,14.801351289662708,8,20.0,30.243103424478075,1,0.15813969,Left Foot,Ground Pass
78,94.49809521889846,33.310959157610576,5,83.0,13.214586216726937,0,0.016858099,Left Foot,unassisted
79,77.8075189168759,15.420765220960991,19,186.0,28.733388517755984,1,0.13025124,Right Foot,Ground Pass
80,73.2693660406585,10.508092119885507,4,12.0,40.555287605167344,1,0.23615475,Right Foot,Low Pass
81,72.79127694992032,19.933138237618277,21,114.0,22.557424062218278,0,0.22154364,Left Foot,Ground Pass
82,60.647506131744606,21.085777196963836,5,12.0,4.8011432671518035,0,0.03356263,Right Foot,Ground Pass
83,85.13988489538849,11.438968484964018,10,49.0,16.674068331857264,1,0.39725664,Right Foot,High Pass
84,57.25032750998024,16.171889190815026,12,35.0,23.42941317263955,0,0.33705974,Right Foot,High Pass
85,68.51715113750717,13.700000000000003,14,27.0,32.55252588411991,0,0.22043863,Left Foot,Ground Pass
86,56.62658386305852,14.44506836259351,37,133.0,15.104530210949852,0,0.043789737,Right Foot,Ground Pass
87,56.62658386305852,23.945354455509733,37,135.0,16.244177276800947,0,0.026101138,Left Foot,unassisted
88,90.78816002100714,15.597756248896829,9,29.0,28.14675181619312,1,0.37591794,Left Foot,Ground Pass
89,58.64401077689008,13.138112497615472,10,41.0,33.78957586657293,1,0.19210088,Right Foot,Ground Pass
90,83.76544633678017,14.8492424049175,5,20.0,4.6963931541029,0,0.07261308,Right Foot,Ground Pass
91,107.57880832208545,21.91643219139466,37,198.0,19.628415281065205,1,0.04519993,Left Foot,Ground Pass
92,89.16737071373139,22.629184695874482,5,23.0,14.294663401548087,0,0.03780385,Right Foot,Ground Pass
93,106.90654797532282,25.223996511258882,6,23.0,18.005728160101498,0,0.037971176,Left Foot,Ground Pass
94,81.4545885754756,28.900692033236854,14,51.0,15.655864562452843,0,0.032228887,Right Foot,Ground Pass
95,60.38418667167755,23.650158561836324,20,52.0,16.56380102379277,0,0.0376857,Right Foot,unassisted
