,start_distance,shot_distance,number_of_passes,possession_duration,shot_angle,goal,xG,body_part,assist_height
0,49.192275816432804,13.730622709840949,15,59.0,29.49678553618125,0,0.035446644,Right Foot,Low Pass
1,72.48675741126789,50.94330181682377,1,26.0,8.10267016063403,0,0.01293112,Left Foot,unassisted
2,72.60426984688985,35.47308839106062,5,19.0,12.80645874889483,0,0.013994116,Right Foot,Ground Pass
3,72.60426984688985,16.18394265931513,6,25.0,21.96832108895799,0,0.13031913,Left Foot,High Pass
4,73.61222724520702,35.12833614050059,4,59.0,9.764132876739508,0,0.044932984,Right Foot,unassisted
5,91.1159700601382,36.23975717357941,4,36.0,11.97659349519061,0,0.013323167,Right Foot,unassisted
6,71.64021217165677,30.870212179380957,0,8.0,13.630215138775444,0,0.018143846,Right Foot,unassisted
7,57.969043462869045,28.31148176976966,1,59.0,15.537276629050956,0,0.082380466,Right Foot,unassisted
8,57.969043462869045,31.890437438203953,1,63.0,14.001221602170094,0,0.010077573,Right Foot,unassisted
9,57.969043462869045,30.83796361629607,18,186.0,14.258365919591007,1,0.025044654,Right Foot,Ground Pass
10,86.20730827487887,23.093072554339752,9,32.0,19.027995436793116,0,0.09478521,Left Foot,unassisted
11,68.54815825388746,23.169160537231384,2,10.0,17.798623902735073,0,0.07245988,Right Foot,Ground Pass
12,77.31093066313456,13.301503674397118,3,11.0,31.2357586904665,0,0.1090029,Left Foot,Ground Pass
13,77.31093066313456,21.795871168641092,5,28.0,10.369415459638711,0,0.033723842,Right Foot,Ground Pass
14,53.54045199659786,22.38057193192346,1,97.0,17.576789362611493,0,0.0683546,Right Foot,unassisted
15,67.21019267938458,22.999347816840377,4,10.0,18.05311918177046,0,0.047008026,Right Foot,Low Pass
16,88.28521960101816,17.21685220939066,4,24.0,9.872015194437704,1,0.083238654,Right Foot,Ground Pass
17,71.02260203625322,14.724808997063429,7,21.0,23.471435314660724,1,0.320012,Right Foot,Ground Pass
18,72.25427323003117,28.195389694061685,5,48.0,14.012358112085437,0,0.019825138,Right Foot,unassisted
19,79.61438312264939,45.8733037833553,10,37.0,9.908595148592248,0,0.015259867,Right Foot,Ground Pass
20,58.694633485524044,9.265527507918799,19,68.0,45.22468817962451,0,0.4397513,Left Foot,Ground Pass
21,19.969977466186585,15.536087023443198,2,41.0,27.874722332055207,0,0.012714733,Head,High Pass
22,79.81635170815565,34.83001579098121,12,71.0,12.691578077272181,0,0.013569398,Right Foot,Ground Pass
23,103.13859607343896,30.5286750449475,9,121.0,14.8691087045075,0,0.033577614,Right Foot,unassisted
24,36.017356926904,10.208329931972218,7,20.0,37.95269624608071,0,0.3720638,Right Foot,High Pass
25,73.60679316476163,19.29378138157474,3,16.0,9.18434158572116,0,0.032969654,Left Foot,Ground Pass
26,36.70013623952914,27.089665926326965,3,7.0,11.771954301413304,0,0.014130855,Right Foot,High Pass
27,36.70013623952914,9.270382947861433,5,46.0,44.194240362194726,0,0.09230018,Head,High Pass
28,60.75689261310193,19.69771560359221,16,215.0,22.43588830667476,0,0.042401727,Right Foot,High Pass
29,60.75689261310193,13.471451295239127,23,245.0,23.046310842542347,0,0.09072827,Left Foot,Low Pass
30,49.31987429018853,21.220744567521656,3,9.0,15.052212455257672,0,0.03185763,Right Foot,Ground Pass
31,88.80163286787017,11.315917991926243,12,111.0,36.06384137573196,0,0.025215184,Head,High Pass
32,92.55511871312143,14.621901381147385,6,53.0,30.561657468759723,0,0.4460951,Right Foot,Ground Pass
33,88.85763895130232,15.132745950421556,9,40.0,29.396052854943253,0,0.2240875,Right Foot,High Pass
34,99.03358016349809,8.514693182963198,6,57.0,49.60541976113286,0,0.1422866,Head,High Pass
35,78.63084636451524,22.69317077889293,5,34.0,18.3598199672236,0,0.03396646,Right Foot,unassisted
36,36.27244132947216,13.787675656179326,7,36.0,19.951391531174576,0,0.39691064,Right Foot,Ground Pass
37,76.01348564564054,4.130375285612671,6,16.0,88.14901230806596,1,0.7643965,Left Foot,unassisted
38,80.0687829306778,12.72006289292628,18,47.0,29.234464692653464,0,0.36860156,Right Foot,Ground Pass
39,71.82513487630914,32.9795391113945,8,22.0,12.867452354743365,0,0.018628351,Right Foot,Ground Pass
40,71.82513487630914,14.9833240637717,17,94.0,29.42424916092417,0,0.10843426,Right Foot,Ground Pass
41,40.94154369341733,26.681079438433525,2,65.0,13.697104344073987,0,0.046985935,Right Foot,unassisted
42,40.94154369341733,10.840664186294127,2,67.0,36.52885536698517,0,0.11490654,Right Foot,unassisted
43,43.86490624633774,24.92007223103497,4,11.0,14.742397453389357,0,0.027617022,Right Foot,Ground Pass
44,43.86490624633774,14.149558296992877,4,14.0,25.53453624484923,0,0.38670906,Right Foot,unassisted
45,43.86490624633774,11.900420160649796,14,180.0,37.156345075648375,0,0.76,Right Foot,unassisted
46,83.26349740432478,18.232114523554312,15,62.0,21.400043469972335,0,0.06785256,Right Foot,Ground Pass
47,55.08484365049973,27.98928366357382,23,101.0,15.83094262757784,0,0.03176187,Right Foot,Ground Pass
48,66.79288884304975,12.18031198286809,2,8.0,19.93304104609961,0,0.19625138,Right Foot,Ground Pass
49,66.79288884304975,6.585590330410785,2,9.0,52.13290538004044,1,0.35716802,Left Foot,unassisted
50,66.79288884304975,16.25330735573532,17,113.0,23.673085198436027,0,0.14972997,Right Foot,Ground Pass
51,29.378903995894746,29.43891981714003,1,3.0,15.155048551440442,0,0.025784157,Right Foot,Ground Pass
52,83.53520216052631,41.15239968701704,13,36.0,8.516468389144444,0,0.023222232,Right Foot,Ground Pass
