,start_distance,shot_distance,number_of_passes,possession_duration,shot_angle,goal,xG,body_part,assist_height
0,85.06797282173827,11.086027241532472,7,23.0,38.685943857027326,0,0.19826329,Right Foot,unassisted
1,26.504716561397142,12.445882853377656,2,3.0,6.245098861613232,1,0.0627042,Right Foot,Ground Pass
2,68.63308240200203,9.749358953285084,5,35.0,41.362479125759336,0,0.057135645,Head,High Pass
3,76.68141887054516,22.82389099167799,25,61.0,18.64812530738939,0,0.031032993,Right Foot,High Pass
4,82.91326793704371,25.946483384073463,53,206.0,16.22089516384044,0,0.028260598,Right Foot,Ground Pass
5,56.82851396966139,23.95078286820704,25,86.0,14.479243244570412,0,0.028826298,Left Foot,Ground Pass
6,75.98506432187841,7.52861208988748,2,8.0,43.34853062302823,0,0.16476469,Head,High Pass
7,40.519131283876256,17.870926109186403,9,35.0,23.387285167181204,0,0.07643139,Left Foot,Ground Pass
8,40.519131283876256,26.548069609672186,10,55.0,14.831967020665763,0,0.015946524,Right Foot,unassisted
9,40.519131283876256,16.601807130550583,22,107.0,12.003392196121398,0,0.023178235,Left Foot,Ground Pass
10,41.31210476361619,35.303399269758714,0,4.0,12.891894036104304,0,0.012471828,Right Foot,unassisted
11,62.54230568183427,14.681961721786365,4,8.0,19.83912670924332,0,0.16849576,Left Foot,Ground Pass
12,62.54230568183427,8.542833253669421,5,52.0,47.231174608031225,0,0.062076245,Head,High Pass
13,75.73143336818602,29.52371927789587,19,61.0,15.369792220978253,0,0.017792553,Right Foot,Ground Pass
14,88.35638064112857,17.33262819078515,19,51.0,24.095431644491345,0,0.067648694,Right Foot,Ground Pass
15,60.416967815341415,11.900420160649796,6,95.0,37.156345075648375,1,0.76,Left Foot,unassisted
16,60.93094451918499,7.887331614684399,11,33.0,40.87990610343087,0,0.13455543,Left Foot,Low Pass
17,39.67971774093157,31.563428204173263,13,59.0,12.158808792059187,0,0.015987588,Right Foot,Ground Pass
18,82.10511555317366,24.812899870833316,6,31.0,17.197212591471526,0,0.032891776,Left Foot,Ground Pass
19,62.10861453936966,10.026464980241037,9,15.0,36.43472334396616,0,0.33769187,Right Foot,Ground Pass
20,75.89631084578485,23.769938998659637,11,50.0,16.170917176273022,0,0.039718222,Right Foot,Ground Pass
21,48.57828733086418,6.226556030423244,2,61.0,62.20703275444849,1,0.27546194,Head,High Pass
22,102.70306714017843,15.669716015295235,6,20.0,28.37839912870457,0,0.06990878,Left Foot,High Pass
23,84.75735956245924,19.198176996787996,8,47.0,22.32788661788548,1,0.15218756,Left Foot,Ground Pass
24,55.085388262224306,18.768324379123467,12,44.0,23.642337745457304,1,0.16399279,Left Foot,Low Pass
25,56.47450752330648,21.005951537600005,6,16.0,17.24463773030151,0,0.060634926,Right Foot,Ground Pass
26,57.249279471448375,11.766052864066182,20,53.0,22.05269102410082,0,0.14871338,Left Foot,Ground Pass
27,93.44945157677492,9.7082439194738,18,62.0,44.1643023542056,1,0.39089942,Right Foot,Low Pass
28,85.90005820719799,17.51142484208524,29,139.0,14.210049093333913,0,0.034259003,Right Foot,unassisted
29,53.079562922088954,11.493476410555683,3,10.0,35.364579286854244,0,0.13321033,Left Foot,Low Pass
30,92.52048421836106,5.232590180780456,7,22.0,68.97027196472901,1,0.39394677,Left Foot,Ground Pass
31,76.42120124677444,11.389907813498752,7,11.0,30.27804568469811,0,0.3797514,Right Foot,Ground Pass
32,51.859039713438584,6.8066144300966505,19,52.0,60.858726327842334,1,0.73221755,Right Foot,Ground Pass
33,37.619144062564736,25.667489164310563,17,62.0,14.579793063366305,1,0.030380605,Left Foot,Ground Pass
34,37.619144062564736,31.445349417680198,49,220.0,13.145807385672562,0,0.028863603,Right Foot,Ground Pass
35,37.619144062564736,14.322360140703063,80,348.0,25.546778670173158,0,0.09232439,Right Foot,High Pass
36,50.31709451071276,7.200000000000003,8,36.0,58.10920819815426,0,0.36924103,Right Foot,High Pass
37,70.50113474264084,8.508818954473066,28,65.0,46.38751574744317,0,0.14019057,Head,High Pass
38,70.50113474264084,13.951702405083049,46,183.0,24.972105774285122,0,0.21932836,Left Foot,Ground Pass
39,64.67031776634471,13.000000000000004,16,64.0,28.5369429880276,0,0.16605744,Left Foot,Ground Pass
40,99.37932380530671,17.274258305351346,3,20.0,19.93096020682084,0,0.08094742,Right Foot,unassisted
41,82.63758224924058,37.417108386405275,33,131.0,11.754732480928627,0,0.012482521,Right Foot,Ground Pass
42,82.63758224924058,8.798295289429648,37,148.0,30.932188612671034,1,0.15621382,Left Foot,Ground Pass
43,37.15400382193015,11.182575731914358,4,73.0,38.38968366406375,0,0.42061555,Left Foot,Low Pass
44,38.241600384921135,20.60097085090894,2,5.0,21.975354647886036,0,0.064401776,Left Foot,Ground Pass
45,87.7564812421282,24.29855962809318,21,64.0,17.107775412713988,1,0.036098544,Right Foot,Ground Pass
46,63.145862889028606,7.816009211867649,25,82.0,54.14826921183484,1,0.32660797,Right Foot,Ground Pass
47,90.26771294322239,9.24445779913566,8,26.0,45.708727226086054,1,0.4944055,Right Foot,Ground Pass
48,54.300092080953235,18.160396471443022,12,68.0,22.68983895191842,0,0.101349115,Left Foot,Ground Pass
49,18.971821209362062,3.805259518088087,5,12.0,92.86240522611179,1,0.8830964,Right Foot,Low Pass
50,32.33109957919774,32.58481241314733,1,3.0,11.417676912675809,0,0.014634231,Left Foot,Ground Pass
51,59.75232213060845,7.169379331573968,20,89.0,39.13039955698525,0,0.28189486,Left Foot,Ground Pass
